locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_4831,4240821,4242203,-,yihP,,GPH family transport protein,Carbohydrate transport and metabolism,A0A0F6B9I6
STM14_4832,4242249,4244285,-,yihQ,,alpha-glucosidase,Carbohydrate transport and metabolism,A0A0F6B9I7
STM14_4833,4244329,4245180,-,yihR,,putative aldose-1-epimerase,Carbohydrate transport and metabolism,A0A0F6B9I8
STM14_4834,4245190,4246431,-,yihS,,putative isomerase,Carbohydrate transport and metabolism,A0A0F6B9I9
STM14_4835,4246447,4247325,-,yihT,,putative aldolase,Carbohydrate transport and metabolism,A0A0F6B9J0
STM14_4836,4247348,4248244,-,yihU,,putative oxidoreductase,Lipid transport and metabolism,A0A0F6B9J1
STM14_4837,4248232,4248351,-,STM14_4837,,hypothetical protein,No COG annotation,A0A0F6B9J2
STM14_4838,4248403,4249305,+,yihV,,putative sugar kinase,Coenzyme transport and metabolism,A0A0F6B9J3
STM14_4839,4249339,4250142,+,yihW,,putative glycerol-3-phosphate regulon repressor,Transcription,A0A0F6B9J4
STM14_4840,4250333,4250932,+,yihX,,phosphatase,Function unknown,A0A0F6B9J5
STM14_4841,4250926,4251798,+,rbn,,ribonuclease BN,Function unknown,A0A0F6B9J6
STM14_4842,4251795,4252232,+,yihZ,,D-tyrosyl-tRNA deacylase,"Translation, ribosomal structure and biogenesis",A0A0F6B9J7
STM14_4843,4252229,4253218,+,yiiD,,putative acetyltransferase,Transcription,A0A0F6B9J8
STM14_4844,4253233,4253661,-,STM14_4844,,putative cytoplasmic protein,Transcription,A0A0F6B9J9
STM14_4845,4253676,4253987,-,STM14_4845,,putative cytoplasmic protein,Function unknown,A0A0F6B9K0
STM14_4846,4254073,4255002,-,STM14_4846,,putative acetyl esterase,Lipid transport and metabolism,A0A0F6B9K1
STM14_4847,4255220,4255531,+,STM14_4847,,hypothetical protein,Function unknown,A0A0F6B9K2
STM14_4848,4255532,4255822,+,STM14_4848,,putative regulatory protein,Transcription,A0A0F6B9K3
STM14_4849,4255869,4256798,-,fdhE,,formate dehydrogenase accessory protein FdhE,"Post-translational modification, protein turnover,and chaperones",A0A0F6B9K4
STM14_4850,4256795,4257430,-,fdoI,,formate dehydrogenase-O subunit gamma,Energy production and conversion,A0A0F6B9K5
STM14_4851,4257427,4258329,-,fdoH,,formate dehydrogenase-O beta subunit,Energy production and conversion,A0A0F6B9K6
STM14_4852,4258342,4261392,-,fdoG,,formate dehydrogenase alpha subunit,Energy production and conversion,A0A0F6B9K7
STM14_4853,4261587,4262423,+,fdhD,,formate dehydrogenase accessory protein,Energy production and conversion,A0A0F6B9K8
STM14_4854,4262409,4262564,-,STM14_4854,,hypothetical protein,No COG annotation,A0A0F6B9K9
STM14_4855,4262691,4263722,-,STM14_4855,,putative inner membrane lipoprotein,Function unknown,A0A0F6B9L0
STM14_4856,4263770,4263904,+,STM14_4856,,hypothetical protein,No COG annotation,A0A0F6B9L1
STM14_4857,4263947,4265005,+,yiiG,,putative cytoplasmic protein,Cell wall/membrane/envelope biogenesis,A0A0F6B9L2
STM14_4858,4265002,4265130,+,STM14_4858,,hypothetical protein,No COG annotation,A0A0F6B9L3
STM14_4859,4265360,4265683,-,STM14_4859,,putative inner membrane protein,Function unknown,A0A0F6B9L4
STM14_4860,4265683,4266342,-,STM14_4860,,putative branched-chain amino acid permease,Amino acid transport and metabolism,A0A0F6B9L5
STM14_4861,4266425,4266991,+,STM14_4861,,hypothetical protein,Transcription,A0A0F6B9L6
STM14_4862,4267080,4267394,-,yiiL,,putative cytoplasmic protein,Carbohydrate transport and metabolism,A0A0F6B9L7
STM14_4863,4267391,4268644,-,STM14_4863,,putative alcohol dehydrogenase,Energy production and conversion,A0A0F6B9L8
STM14_4864,4268666,4269493,-,rhaD,,rhamnulose-1-phosphate aldolase,Coenzyme transport and metabolism,A0A0F6B9L9
STM14_4865,4269636,4270895,-,rhaA,,L-rhamnose isomerase,Carbohydrate transport and metabolism,A0A0F6B9M0
STM14_4866,4270892,4272361,-,rhaB,,rhamnulokinase,Nucleotide transport and metabolism,A0A0F6B9M1
STM14_4867,4272347,4272496,+,STM14_4867,,hypothetical protein,No COG annotation,A0A0F6B9M2
STM14_4868,4272426,4272560,-,STM14_4868,,hypothetical protein,No COG annotation,A0A0F6B9M3
STM14_4869,4272649,4273485,+,rhaS,,transcriptional activator RhaS,Transcription,A0A0F6B9M4
STM14_4870,4273638,4274486,+,rhaR,,transcriptional activator RhaR,Transcription,A0A0F6B9M5
STM14_4871,4274483,4275517,-,rhaT,,rhamnose-proton symporter,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B9M6
STM14_4872,4275521,4275652,+,STM14_4872,,hypothetical protein,No COG annotation,A0A0F6B9M7
STM14_4873,4275986,4276111,+,STM14_4873,,hypothetical protein,No COG annotation,A0A0F6B9M8
STM14_4874,4276136,4276819,+,STM14_4874,,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6B9M9
STM14_4875,4276977,4278284,-,STM14_4875,,putative C4-dicarboxylate transport system,Carbohydrate transport and metabolism,A0A0F6B9N0
STM14_4876,4278277,4278792,-,STM14_4876,,putative C4-dicarboxylate transport system,Carbohydrate transport and metabolism,A0A0F6B9N1
STM14_4877,4278811,4279794,-,STM14_4877,,putative periplasmic dicarboxylate-binding protein,Carbohydrate transport and metabolism,A0A0F6B9N2
STM14_4878,4280123,4280743,+,sodA,,superoxide dismutase,Energy production and conversion,A0A0F6B9N3
STM14_4879,4280813,4281502,+,yiiM,,hypothetical protein,Function unknown,A0A0F6B9N4
STM14_4880,4281514,4281909,+,STM14_4880,,putative inner membrane protein,Function unknown,A0A0F6B9N5
STM14_4881,4281960,4283333,-,cpxA,,two-component sensor protein,Signal transduction mechanisms,A0A0F6B9N6
STM14_4882,4283330,4284028,-,cpxR,,DNA-binding transcriptional regulator CpxR,Transcription,A0A0F6B9N7
STM14_4883,4284179,4284679,+,cpxP,,periplasmic repressor CpxP,Cell motility,A0A0F6B9N8
STM14_4884,4284827,4285729,+,fieF,,ferrous iron efflux protein F,Inorganic ion transport and metabolism,A0A0F6B9N9
STM14_4885,4285914,4286876,+,pfkA,,6-phosphofructokinase,Nucleotide transport and metabolism,A0A0F6B9P0
STM14_4886,4286951,4287055,-,STM14_4886,,hypothetical protein,No COG annotation,A0A0F6B9P1
STM14_4887,4287080,4288069,+,sbp,,sulfate transporter subunit,Inorganic ion transport and metabolism,A0A0F6B9P2
STM14_4888,4288035,4288925,+,ushB,,CDP-diacylglycerol pyrophosphatase,Lipid transport and metabolism,A0A0F6B9P3
STM14_4889,4289188,4290522,+,STM14_4889,,putative Na+/galactoside symporter,Carbohydrate transport and metabolism,A0A0F6B9P4
STM14_4890,4290533,4291492,+,STM14_4890,,aminoimidazole riboside kinase,Carbohydrate transport and metabolism,A0A0F6B9P5
STM14_4891,4291502,4292542,+,STM14_4891,,putative ADP-ribosylglycohydrolase,"Post-translational modification, protein turnover,and chaperones",A0A0F6B9P6
STM14_4892,4292605,4293327,+,STM14_4892,,putative regulatory protein,Transcription,A0A0F6B9P7
STM14_4893,4293425,4293589,+,STM14_4893,,putative periplasmic protein,Inorganic ion transport and metabolism,A0A0F6B9P8
STM14_4894,4293605,4293736,+,STM14_4894,,putative cytoplasmic protein,Lipid transport and metabolism,A0A0F6B9P9
STM14_4895,4293826,4294176,-,STM14_4895,,putative mannose-6-phosphate isomerase,Function unknown,A0A0F6B9Q0
STM14_4896,4294190,4295782,-,ydeV,,autoinducer-2 (AI-2) kinase,Carbohydrate transport and metabolism,A0A0F6B9Q1
STM14_4897,4295871,4296830,-,ydeW,,putative transcriptional repressor,Transcription,A0A0F6B9Q2
STM14_4898,4296957,4297091,-,STM14_4898,,hypothetical protein,No COG annotation,A0A0F6B9Q3
STM14_4899,4297086,4298621,+,ego,,putative ABC-type aldose transport system ATPase component,Carbohydrate transport and metabolism,A0A0F6B9Q4
STM14_4900,4298615,4299658,+,ydeY,,putative sugar transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B9Q5
STM14_4901,4299655,4300656,+,ydeZ,,putative sugar transport protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B9Q6
STM14_4902,4300685,4301707,+,yneA,,putative sugar transport protein,Carbohydrate transport and metabolism,A0A0F6B9Q7
STM14_4903,4301736,4302611,+,yneB,,aldolase,Carbohydrate transport and metabolism,A0A0F6B9Q8
STM14_4904,4302691,4302984,+,yneC,,autoinducer-2 (AI-2) modifying protein LsrG,Function unknown,A0A0F6B9Q9
STM14_4905,4302994,4303758,+,STM14_4905,,ribulose-phosphate 3-epimerase,Carbohydrate transport and metabolism,A0A0F6B9R0
STM14_4906,4303850,4304617,-,tpiA,,triosephosphate isomerase,Carbohydrate transport and metabolism,A0A0F6B9R1
STM14_4907,4304730,4305326,-,yiiQ,,putative periplasmic protein,Function unknown,A0A0F6B9R2
STM14_4908,4305427,4305855,+,yiiR,,putative inner membrane protein,Function unknown,A0A0F6B9R3
STM14_4909,4305795,4305962,-,STM14_4909,,hypothetical protein,No COG annotation,A0A0F6B9R4
STM14_4910,4305962,4306708,-,fpr,,ferredoxin-NADP reductase,Energy production and conversion,A0A0F6B9R5
STM14_4911,4306805,4307905,-,glpX,,fructose 1%2C6-bisphosphatase II,Carbohydrate transport and metabolism,A0A0F6B9R6
STM14_4912,4307927,4309435,-,glpK,,glycerol kinase,Nucleotide transport and metabolism,A0A0F6B9R7
STM14_4913,4309456,4310301,-,glpF,,glycerol diffusion,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B9R8
STM14_4914,4310547,4310666,+,STM14_4914,,hypothetical protein,No COG annotation,A0A0F6B9R9
STM14_4915,4310700,4310939,+,yiiU,,putative cytoplasmic protein,No COG annotation,A0A0F6B9S0
STM14_4916,4311024,4311164,-,STM14_4916,,hypothetical protein,No COG annotation,A0A0F6B9S1
STM14_4917,4311161,4311646,-,menG,,ribonuclease activity regulator protein RraA,Coenzyme transport and metabolism,A0A0F6B9S2
STM14_4918,4311739,4312668,-,menA,,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,Coenzyme transport and metabolism,A0A0F6B9S3
STM14_4919,4312735,4314066,-,hslU,,ATP-dependent protease ATP-binding subunit,Nucleotide transport and metabolism,A0A0F6B9S4
STM14_4920,4314076,4314606,-,hslV,,ATP-dependent protease peptidase subunit,"Post-translational modification, protein turnover,and chaperones",A0A0F6B9S5
STM14_4921,4314698,4315672,-,ftsN,,essential cell division protein,"Cell cycle control, cell division, chromosome partitioning",A0A0F6B9S6
STM14_4922,4315766,4316956,-,cytR,,DNA-binding transcriptional regulator CytR,Transcription,A0A0F6B9S7
STM14_4923,4316946,4319144,-,priA,,primosome assembly protein PriA,"Replication, recombination and repair",A0A0F6B9S8
STM14_4924,4319348,4319560,+,rpmE,,50S ribosomal protein L31,"Translation, ribosomal structure and biogenesis",A0A0F6B9S9
STM14_4925,4319606,4320268,-,STM14_4925,,putative outer membrane lipoprotein,Function unknown,A0A0F6B9T0
STM14_4926,4320469,4322259,-,STM14_4926,,putative arylsulfate sulfotransferase,Cell wall/membrane/envelope biogenesis,A0A0F6B9T1
STM14_4927,4322716,4323033,-,metJ,,transcriptional repressor protein MetJ,Transcription,A0A0F6B9T2
STM14_4928,4323157,4324458,+,metB,,cystathionine gamma-synthase,Amino acid transport and metabolism,A0A0F6B9T3
STM14_4929,4324461,4326893,+,metL,,bifunctional aspartate kinase II/homoserine dehydrogenase II,Amino acid transport and metabolism,A0A0F6B9T4
STM14_4930,4327009,4327866,-,STM14_4930,,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6B9T5
STM14_4931,4327869,4328867,-,STM14_4931,,putative membrane protein,No COG annotation,A0A0F6B9T6
STM14_4932,4329102,4330226,-,STM14_4932,,putative cytoplasmic protein,"Replication, recombination and repair",A0A0F6B9T7
STM14_4933,4330362,4331918,+,STM14_4933,,putative 5'-nucleotidase/2'%2C3'-cyclic phosphodiesterase,Nucleotide transport and metabolism,A0A0F6B9T8
STM14_4934,4332008,4332127,-,STM14_4934,,hypothetical protein,No COG annotation,A0A0F6B9T9
STM14_4935,4332113,4333003,+,metF,,5%2C10-methylenetetrahydrofolate reductase,Amino acid transport and metabolism,A0A0F6B9U0
STM14_4936,4333168,4335348,+,katG,,hydroperoxidase,Inorganic ion transport and metabolism,A0A0F6B9U1
STM14_4937,4335406,4336029,-,yijF,,putative periplasmic protein,Function unknown,A0A0F6B9U2
STM14_4938,4336017,4336178,+,STM14_4938,,hypothetical protein,No COG annotation,A0A0F6B9U3
STM14_4939,4336288,4337391,-,gldA_2,,glycerol dehydrogenase,Energy production and conversion,A0A0F6B9U4
STM14_4940,4337403,4338065,-,talC,,fructose-6-phosphate aldolase,Carbohydrate transport and metabolism,A0A0F6B9U5
STM14_4941,4338076,4340577,-,ptsA,,PEP-protein phosphotransferase,Carbohydrate transport and metabolism,A0A0F6B9U6
STM14_4942,4340213,4340539,+,STM14_4942,,,No COG annotation,
STM14_4943,4340772,4340927,-,STM14_4943,,hypothetical protein,No COG annotation,A0A0F6B9U7
STM14_4944,4340886,4341965,+,frwC,,putative fructose-like permease EIIC subunit 2,Carbohydrate transport and metabolism,A0A0F6B9U8
STM14_4945,4341980,4342300,+,frwB,,putative fructose-like phosphotransferase EIIB subunit 2,Carbohydrate transport and metabolism,A0A0F6B9U9
STM14_4946,4342399,4344696,+,pflD,,putative formate acetyltransferase 2,Energy production and conversion,A0A0F6B9V0
STM14_4947,4344662,4345540,+,pflC,,pyruvate formate lyase II activase,Coenzyme transport and metabolism,A0A0F6B9V1
STM14_4948,4345542,4345895,+,frwD,,putative fructose-like phosphotransferase EIIB subunit 3,Carbohydrate transport and metabolism,A0A0F6B9V2
STM14_4949,4345882,4346733,-,yijO,,putative regulatory protein,Transcription,A0A0F6B9V3
STM14_4950,4346732,4346872,+,STM14_4950,,hypothetical protein,No COG annotation,A0A0F6B9V4
STM14_4951,4346784,4346900,+,STM14_4951,,hypothetical protein,No COG annotation,A0A0F6B9V5
STM14_4952,4346894,4348627,-,yijP,,hypothetical protein,Function unknown,A0A0F6B9V6
STM14_4953,4348703,4348810,+,STM14_4953,,hypothetical protein,No COG annotation,A0A0F6B9V7
STM14_4954,4348838,4351489,-,ppc,,phosphoenolpyruvate carboxylase,Coenzyme transport and metabolism,A0A0F6B9V8
STM14_4955,4351858,4353009,-,argE,,acetylornithine deacetylase,Amino acid transport and metabolism,A0A0F6B9V9
STM14_4956,4353098,4354102,+,argC,,N-acetyl-gamma-glutamyl-phosphate reductase,Amino acid transport and metabolism,A0A0F6B9W0
STM14_4957,4354113,4354886,+,argB,,acetylglutamate kinase,Nucleotide transport and metabolism,A0A0F6B9W1
STM14_4958,4355004,4356380,+,argH,,argininosuccinate lyase,Amino acid transport and metabolism,A0A0F6B9W2
STM14_4959,4356665,4357582,+,oxyR,,DNA-binding transcriptional regulator OxyR,Transcription,A0A0F6B9W3
STM14_4960,4357565,4358965,-,udhA,,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,A0A0F6B9W4
STM14_4961,4358974,4359162,-,STM14_4961,,hypothetical protein,No COG annotation,A0A0F6B9W5
STM14_4962,4359164,4359799,+,yijC,,DNA-binding transcriptional repressor FabR,Transcription,A0A0F6B9W6
STM14_4963,4359815,4360174,+,yijD,,hypothetical protein,Function unknown,A0A0F6B9W7
STM14_4964,4360221,4361321,-,trmA,,tRNA (uracil-5-)-methyltransferase,"Translation, ribosomal structure and biogenesis",A0A0F6B9W8
STM14_4965,4361695,4363539,+,btuB,,vitamin B12/cobalamin outer membrane transporter,Inorganic ion transport and metabolism,A0A0F6B9W9
STM14_4966,4363484,4364335,+,murI,,glutamate racemase,Cell wall/membrane/envelope biogenesis,A0A0F6B9X0
STM14_4970,4366598,4366714,+,STM14_4970,,hypothetical protein,No COG annotation,A0A0F6B9X1
STM14_4973,4370253,4371281,+,murB,,UDP-N-acetylenolpyruvoylglucosamine reductase,Cell wall/membrane/envelope biogenesis,A0A0F6B9X2
STM14_4974,4371278,4372240,+,birA,,biotin--protein ligase,Coenzyme transport and metabolism,A0A0F6B9X3
STM14_4975,4372275,4373225,-,coaA,,pantothenate kinase,Nucleotide transport and metabolism,A0A0F6B9X4
STM14_4976,4373306,4373410,-,STM14_4976,,,No COG annotation,
STM14_4977,4373434,4373607,-,STM14_4977,,putative cytoplasmic protein,No COG annotation,A0A0F6B9X5
STM14_4982,4374184,4375368,+,tuf_2,,elongation factor Tu,"Translation, ribosomal structure and biogenesis",A0A0F6B9X6
STM14_4983,4375382,4375510,+,STM14_4983,,hypothetical protein,No COG annotation,A0A0F6B9X7
STM14_4984,4375598,4375981,+,secE,,preprotein translocase subunit SecE,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B9X8
STM14_4985,4375983,4376528,+,nusG,,transcription antitermination protein NusG,Transcription,A0A0F6B9X9
STM14_4986,4376686,4377114,+,rplK,,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",A0A0F6B9Y0
STM14_4987,4377118,4377822,+,rplA,,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",A0A0F6B9Y1
STM14_4988,4378242,4378739,+,rplJ,,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",A0A0F6B9Y2
STM14_4989,4378806,4379171,+,rplL,,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",A0A0F6B9Y3
STM14_4990,4379489,4383517,+,rpoB,,DNA-directed RNA polymerase subunit beta,Transcription,A0A0F6B9Y4
STM14_4991,4383594,4387817,+,rpoC,,DNA-directed RNA polymerase subunit beta',Transcription,A0A0F6B9Y5
STM14_4992,4387859,4388182,+,STM14_4992,,putative inner membrane protein,No COG annotation,A0A0F6B9Y6
STM14_4993,4388188,4388532,-,STM14_4993,,putative cytoplasmic protein,No COG annotation,A0A0F6B9Y7
STM14_4994,4388486,4388623,-,STM14_4994,,hypothetical protein,No COG annotation,A0A0F6B9Y8
STM14_4995,4388644,4388847,+,STM14_4995,,hypothetical protein,No COG annotation,A0A0F6B9Y9
STM14_4996,4388931,4389941,+,STM14_4996,,putative cytoplasmic protein,No COG annotation,A0A0F6B9Z0
STM14_4997,4389931,4390140,+,STM14_4997,,hypothetical protein,No COG annotation,A0A0F6B9Z1
STM14_4999,4390264,4390452,+,STM14_4999,,putative cytoplasmic protein,No COG annotation,A0A0F6B9Z2
STM14_5000,4390603,4391736,-,thiH,,thiamine biosynthesis protein ThiH,Energy production and conversion,A0A0F6B9Z3
STM14_5001,4391733,4392503,-,thiG,,thiazole synthase,Coenzyme transport and metabolism,A0A0F6B9Z4
STM14_5002,4392505,4392705,-,STM14_5002,,sulfur carrier protein ThiS,Coenzyme transport and metabolism,A0A0F6B9Z5
STM14_5003,4392686,4393444,-,thiF,,thiamine biosynthesis protein ThiF,Coenzyme transport and metabolism,A0A0F6B9Z6
STM14_5004,4393437,4394072,-,thiE,,thiamine-phosphate pyrophosphorylase,Coenzyme transport and metabolism,A0A0F6B9Z7
STM14_5005,4394072,4395967,-,thiC,,thiamine biosynthesis protein ThiC,Coenzyme transport and metabolism,A0A0F6B9Z8
STM14_5006,4396331,4396819,-,rsd,,anti-RNA polymerase sigma 70 factor,Transcription,A0A0F6B9Z9
STM14_5007,4396912,4397685,+,nudC,,NADH pyrophosphatase,"Replication, recombination and repair",A0A0F6BA00
STM14_5008,4397726,4398790,+,hemE,,uroporphyrinogen decarboxylase,Coenzyme transport and metabolism,A0A0F6BA01
STM14_5009,4398800,4399471,+,nfi,,endonuclease V,"Replication, recombination and repair",A0A0F6BA02
STM14_5010,4399513,4400103,+,yjaG,,putative cytoplasmic protein,Function unknown,A0A0F6BA03
STM14_5011,4400290,4400562,+,hupA,,transcriptional regulator HU subunit alpha,"Replication, recombination and repair",A0A0F6BA04
STM14_5012,4400574,4401266,+,yjaH,,putative inner membrane protein,Function unknown,A0A0F6BA05
STM14_5013,4401308,4401763,-,zraP,,zinc resistance protein,Cell motility,A0A0F6BA06
STM14_5014,4401933,4403414,+,hydH,,sensor protein ZraS,Signal transduction mechanisms,A0A0F6BA07
STM14_5015,4403420,4404745,+,hydG,,transcriptional regulatory protein ZraR,Signal transduction mechanisms,A0A0F6BA08
STM14_5016,4404742,4406031,-,purD,,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,A0A0F6BA09
STM14_5017,4406043,4407632,-,purH,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,Nucleotide transport and metabolism,A0A0F6BA10
STM14_5018,4407683,4407805,+,STM14_5018,,hypothetical protein,No COG annotation,A0A0F6BA11
STM14_5019,4407796,4407918,-,STM14_5019,,hypothetical protein,No COG annotation,A0A0F6BA12
STM14_5020,4407851,4407991,+,STM14_5020,,hypothetical protein,No COG annotation,A0A0F6BA13
STM14_5025,4413499,4413630,-,STM14_5025,,hypothetical protein,No COG annotation,A0A0F6BA14
STM14_5026,4413565,4413795,+,STM14_5026,,conserved hypothetical protein,No COG annotation,A0A0F6BA15
STM14_5027,4413786,4414223,-,yjaB,,hypothetical protein,Transcription,A0A0F6BA16
STM14_5028,4414380,4415309,+,metA,,homoserine O-succinyltransferase,Amino acid transport and metabolism,A0A0F6BA17
STM14_5029,4415578,4417179,+,aceB,,malate synthase,Coenzyme transport and metabolism,A0A0F6BA18
STM14_5030,4417211,4418515,+,aceA,,isocitrate lyase,Energy production and conversion,A0A0F6BA19
STM14_5031,4418519,4418641,+,STM14_5031,,conserved hypothetical protein,No COG annotation,A0A0F6BA20
STM14_5032,4418617,4420368,+,aceK,,bifunctional isocitrate dehydrogenase kinase/phosphatase protein,Nucleotide transport and metabolism,A0A0F6BA21
STM14_5033,4420332,4420739,-,STM14_5033,,putative cytoplasmic protein,Function unknown,A0A0F6BA22
STM14_5034,4420750,4421574,-,iclR,,transcriptional repressor IclR,Transcription,A0A0F6BA23
STM14_5035,4421773,4425561,+,metH,,B12-dependent methionine synthase,Coenzyme transport and metabolism,A0A0F6BA24
STM14_5036,4425828,4427459,+,yjbB,,putative transport protein,Inorganic ion transport and metabolism,A0A0F6BA25
STM14_5037,4427535,4428224,-,pepE,,peptidase E,Amino acid transport and metabolism,A0A0F6BA26
STM14_5038,4428296,4428397,+,STM14_5038,,putative cytoplasmic protein,No COG annotation,A0A0F6BA27
STM14_5039,4428432,4428971,+,STM14_5039,,putative cytoplasmic protein,Function unknown,A0A0F6BA28
STM14_5040,4429018,4429887,+,yjbC,,23S rRNA pseudouridine synthase F,"Translation, ribosomal structure and biogenesis",A0A0F6BA29
STM14_5041,4429884,4430156,-,yjbD,,hypothetical protein,Function unknown,A0A0F6BA30
STM14_5042,4430254,4430427,-,STM14_5042,,putative Na+-dependent transporter,Function unknown,A0A0F6BA31
STM14_5043,4430491,4431195,-,STM14_5043,,,Function unknown,
STM14_5044,4431313,4431468,+,STM14_5044,,hypothetical protein,No COG annotation,A0A0F6BA32
STM14_5045,4431457,4432185,-,STM14_5045,,putative cytoplasmic protein,No COG annotation,A0A0F6BA33
STM14_5046,4432382,4432672,-,STM14_5046,,putative inner membrane protein,Amino acid transport and metabolism,A0A0F6BA34
STM14_5047,4432921,4433376,-,STM14_5047,,putative cytoplasmic protein,Function unknown,A0A0F6BA35
STM14_5048,4433373,4433978,-,STM14_5048,,putative cytoplasmic protein,Function unknown,A0A0F6BA36
STM14_5049,4433983,4435728,-,STM14_5049,,putative phage tail fiber protein H,Function unknown,A0A0F6BA37
STM14_5050,4435731,4436363,-,STM14_5050,,putative phage tail protein,Function unknown,A0A0F6BA38
STM14_5051,4436356,4437471,-,STM14_5051,,putative phage baseplate protein,Function unknown,A0A0F6BA39
STM14_5052,4437462,4437821,-,STM14_5052,,putative phage baseplate protein,Function unknown,A0A0F6BA40
STM14_5053,4437882,4438004,+,STM14_5053,,hypothetical protein,No COG annotation,A0A0F6BA41
STM14_5054,4437985,4439532,-,STM14_5054,,putative inner membrane protein,No COG annotation,A0A0F6BA42
STM14_5055,4439532,4440461,-,STM14_5055,,putative phage glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A0F6BA43
STM14_5056,4440458,4440820,-,STM14_5056,,putative phage glucose translocase,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6BA44
STM14_5057,4441014,4441139,-,STM14_5057,,hypothetical protein,No COG annotation,A0A0F6BA45
STM14_5058,4441148,4441870,-,STM14_5058,,putative phage baseplate component,Function unknown,A0A0F6BA46
STM14_5059,4441880,4442923,-,STM14_5059,,putative cytoplasmic protein,Function unknown,A0A0F6BA47
STM14_5060,4442911,4443120,-,STM14_5060,,putative inner membrane protein,Function unknown,A0A0F6BA48
STM14_5061,4443120,4444073,-,STM14_5061,,putative methyl-accepting chemotaxis protein,Function unknown,A0A0F6BA49
STM14_5062,4444073,4446427,-,STM14_5062,,putative phage tail protein,Function unknown,A0A0F6BA50
STM14_5063,4446524,4446652,-,STM14_5063,,conserved hypothetical protein,No COG annotation,A0A0F6BA51
STM14_5065,4446981,4447505,-,STM14_5065,,putative phage tail core protein,Function unknown,A0A0F6BA52
STM14_5066,4447505,4448932,-,STM14_5066,,putative phage tail sheath protein,Function unknown,A0A0F6BA53
STM14_5067,4448922,4449119,-,STM14_5067,,putative cytoplasmic protein,No COG annotation,A0A0F6BA54
STM14_5068,4449116,4449571,-,STM14_5068,,putative cytoplasmic protein,Function unknown,A0A0F6BA55
STM14_5069,4449731,4450045,-,STM14_5069,,putative inner membrane protein,No COG annotation,A0A0F6BA56
STM14_5070,4450058,4450663,-,STM14_5070,,putative soluble lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,A0A0F6BA57
STM14_5071,4450666,4450953,-,STM14_5071,,putative inner membrane protein,Function unknown,A0A0F6BA58
STM14_5072,4451435,4451575,+,STM14_5072,,hypothetical protein,No COG annotation,A0A0F6BA59
STM14_5073,4451529,4451876,+,STM14_5073,,putative cytoplasmic protein,Function unknown,A0A0F6BA60
STM14_5074,4452009,4453358,-,lysC,,aspartate kinase III,Amino acid transport and metabolism,A0A0F6BA61
STM14_5075,4453703,4455352,+,pgi,,glucose-6-phosphate isomerase,Carbohydrate transport and metabolism,A0A0F6BA62
STM14_5076,4455796,4456038,+,yjbE,,putative outer membrane protein,No COG annotation,A0A0F6BA63
STM14_5077,4456072,4456740,+,yjbF,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6BA64
STM14_5078,4456737,4457474,+,yjbG,,putative periplasmic protein,Function unknown,A0A0F6BA65
STM14_5079,4457474,4459570,+,yjbH,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6BA66
STM14_5080,4459713,4460123,+,yjbA,,phosphate-starvation-inducible protein PsiE,Function unknown,A0A0F6BA67
STM14_5081,4460289,4461179,-,malG,,maltose transporter permease,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6BA68
STM14_5082,4461194,4462738,-,malF,,maltose transporter membrane protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6BA69
STM14_5083,4462681,4462857,-,STM14_5083,,hypothetical protein,No COG annotation,A0A0F6BA70
STM14_5084,4462737,4462877,+,STM14_5084,,hypothetical protein,No COG annotation,A0A0F6BA71
STM14_5085,4462870,4464297,-,malE,,maltose ABC transporter periplasmic protein,Carbohydrate transport and metabolism,A0A0F6BA72
STM14_5086,4464422,4465531,+,malK,,maltose/maltodextrin transporter ATP-binding protein,Amino acid transport and metabolism,A0A0F6BA73
STM14_5087,4465620,4466978,+,lamB,,maltoporin,Cell wall/membrane/envelope biogenesis,A0A0F6BA74
STM14_5088,4466972,4467136,+,STM14_5088,,hypothetical protein,No COG annotation,A0A0F6BA75
